player,team,role,goals,assists,penalties saved,saves,clean sheets,yellow cards,red cards,penalties missed,own goals,goals conceded,minutes,score,rating
Joel Robles,Everton,Goalkeeper,0,1,0,46,9,2,0,0,0,17,1557,10.5,0.61
Cesc Fàbregas,Chelsea,Midfielder,4,9,0,0,2,7,0,0,0,12,973,6.5,0.6
Juan Mata,Man Utd,Midfielder,6,3,0,0,9,3,0,0,1,12,1385,9.0,0.58
Santiago Cazorla,Arsenal,Midfielder,2,2,0,0,4,2,0,0,0,5,618,4.0,0.58
Nathaniel Chalobah,Chelsea,Midfielder,0,1,0,0,0,1,0,0,0,0,79,0.5,0.57
Ademola Lookman,Everton,Midfielder,1,0,0,0,1,0,0,0,0,2,244,1.5,0.55
Lee Grant,Stoke,Goalkeeper,0,0,0,91,9,1,0,0,0,34,2520,15.5,0.55
Leroy Sané,Man City,Midfielder,5,3,0,0,6,2,0,0,0,12,1336,8.0,0.54
Michel Vorm,Spurs,Goalkeeper,0,0,0,7,2,0,0,0,0,2,416,2.5,0.54
Philippe Coutinho,Liverpool,Midfielder,9,7,0,0,5,2,0,0,0,25,1858,10.5,0.51
Willian Borges Da Silva,Chelsea,Midfielder,6,2,0,0,6,3,0,0,0,14,1312,7.5,0.51
Enner Valencia,Everton,Forward,3,3,0,0,2,0,0,0,0,9,703,4.0,0.51
Willy Caballero,Man City,Goalkeeper,0,0,1,19,4,0,0,0,0,9,990,5.5,0.5
Daniel Sturridge,Liverpool,Forward,2,4,0,0,1,1,0,0,0,7,579,3.0,0.47
Ilkay Gündogan,Man City,Midfielder,3,1,0,0,3,0,0,0,0,8,704,3.5,0.45
Eldin Jakupovic,Hull,Goalkeeper,0,0,1,66,3,0,0,0,0,30,1620,7.5,0.42
Theo Walcott,Arsenal,Midfielder,10,3,0,0,7,1,0,1,0,26,1819,7.0,0.35
Petr Cech,Arsenal,Goalkeeper,0,0,0,85,8,2,0,0,1,33,2467,9.5,0.35
David de Gea,Man Utd,Goalkeeper,0,0,0,59,12,2,0,0,0,24,2700,10.5,0.35
Kasper Schmeichel,Leicester,Goalkeeper,0,0,0,85,6,1,0,0,0,37,2126,8.0,0.34
Thibaut Courtois,Chelsea,Goalkeeper,0,0,0,59,13,1,0,0,0,25,2790,10.5,0.34
Marcos Alonso,Chelsea,Defender,5,4,0,0,12,2,0,0,0,16,2243,8.0,0.32
Ben Foster,West Brom,Goalkeeper,0,0,0,101,6,2,0,0,0,42,2970,10.5,0.32
Raheem Sterling,Man City,Midfielder,6,14,0,0,7,6,0,0,0,25,2216,7.5,0.3
Jay Rodriguez,Southampton,Midfielder,4,1,0,0,3,0,0,0,0,12,754,2.5,0.3
Mesut Özil,Arsenal,Midfielder,7,8,0,0,8,0,0,0,0,26,2221,7.0,0.28
Marcus Rashford,Man Utd,Forward,5,2,0,0,6,3,0,0,0,14,1449,4.5,0.28
Vincent Janssen,Spurs,Forward,2,3,0,0,3,0,0,0,0,8,802,2.5,0.28
Vito Mannone,Sunderland,Goalkeeper,0,0,0,41,2,0,0,0,0,19,810,2.5,0.28
Roberto Firmino,Liverpool,Midfielder,11,10,0,0,8,5,0,0,0,37,2714,7.5,0.25
Xherdan Shaqiri,Stoke,Midfielder,4,2,0,0,6,1,0,0,0,13,1249,3.5,0.25
Joshua Sims,Southampton,Midfielder,0,1,0,0,1,0,0,0,0,1,178,0.5,0.25
Víctor Valdés,Middlesbrough,Goalkeeper,0,0,0,79,8,1,0,0,0,36,2520,7.0,0.25
Shaun Maloney,Hull,Midfielder,1,2,0,0,1,0,0,0,0,5,238,0.5,0.19
Kevin Mirallas,Everton,Midfielder,4,8,0,0,9,2,0,0,0,20,1719,3.5,0.18
Victor Moses,Chelsea,Midfielder,3,3,0,0,14,4,0,0,0,13,2045,4.0,0.18
Wayne Hennessey,Crystal Palace,Goalkeeper,0,0,0,72,6,1,0,0,0,35,2070,3.5,0.15
Simon Mignolet,Liverpool,Goalkeeper,0,0,2,43,5,0,0,0,0,28,2070,2.0,0.09
Erik Lamela,Spurs,Midfielder,1,1,0,0,4,1,0,1,0,2,595,0.5,0.08
Maarten Stekelenburg,Everton,Goalkeeper,0,0,2,35,3,2,0,0,1,20,1413,1.0,0.06
Heurelho Gomes,Watford,Goalkeeper,0,0,1,93,7,1,0,0,1,48,2797,1.5,0.05
Andre Gray,Burnley,Forward,8,2,0,0,8,2,0,0,0,28,2024,1.0,0.04
Artur Boruc,Bournemouth,Goalkeeper,0,0,2,104,7,2,0,0,0,60,2790,0.5,0.02
Peter Crouch,Stoke,Forward,5,3,0,0,3,1,0,0,0,19,1111,0.0,0.0
James Morrison,West Brom,Midfielder,5,2,0,0,4,2,0,0,0,18,1517,0.0,0.0
Fraizer Campbell,Crystal Palace,Forward,1,0,0,0,0,0,0,0,0,3,120,0.0,0.0
Jonathan Calleri,West Ham,Forward,1,0,0,0,0,0,0,0,0,3,258,0.0,0.0
Moussa Sissoko,Spurs,Midfielder,0,3,0,0,4,2,0,0,0,4,756,0.0,0.0
Damian Emiliano Martinez,Arsenal,Goalkeeper,0,0,0,5,1,0,0,0,0,3,180,0.0,0.0
Per Mertesacker,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Mathieu Debuchy,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0
Serge Gnabry,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joel Campbell,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Yaya Sanogo,Arsenal,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Takuma Asano,Arsenal,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Eunan O'Kane,Bournemouth,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Shaun MacDonald,Bournemouth,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Emerson Hyndman,Bournemouth,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tokelo Rantie,Bournemouth,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tendayi Darikwa,Burnley,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Fredrik Ulvestad,Burnley,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Lukas Jutkiewicz,Burnley,Forward,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0
Rouwen Hennings,Burnley,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Chris Long,Burnley,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Abdul Rahman Baba,Chelsea,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Matt Miazga,Chelsea,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Juan Cuadrado,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ruben Loftus-Cheek,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,35,0.0,0.0
John Obi Mikel,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bertrand Traore,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Marco Van Ginkel,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Robert Kenedy Nunes do Nascimento,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0
Julian Speroni,Crystal Palace,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alex McCarthy,Southampton,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jonathan Williams,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tyias Browning,Everton,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Muhamed Besic,Everton,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Arouna Koné,Everton,Forward,0,0,0,0,0,0,0,0,0,0,46,0.0,0.0
Allan McGregor,Hull,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Brian Lenihan,Hull,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Moses Odubajo,Hull,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alex Bruce,Hull,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Mohamed Diamé,Hull,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ritchie de Laet,Leicester,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Gökhan Inler,Leicester,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joseph Gomez,Liverpool,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Connor Randall,Liverpool,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kevin Stewart,Liverpool,Defender,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0
Oluwaseyi Ojo,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Cameron Brannagan,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Pedro Chirivella,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Mario Balotelli,Liverpool,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Danny Ings,Liverpool,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joe Hart,Man City,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Eliaquim Mangala,Man City,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Samir Nasri,Man City,Midfielder,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0
Oleksandr Zinchenko,Man City,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Guillermo Varela,Man Utd,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Cameron Borthwick-Jackson,Man Utd,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Timothy Fosu-Mensah,Man Utd,Defender,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0
Andreas Pereira,Man Utd,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bastian Schweinsteiger,Man Utd,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
James Wilson,Man Utd,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Dimitrios Konstantopoulos,Middlesbrough,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Dael Fry,Middlesbrough,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Adam Reach,Middlesbrough,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Carlos De Pena,Middlesbrough,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Julien de Sart,Middlesbrough,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
David Nugent,Middlesbrough,Forward,0,0,0,0,0,0,0,0,0,0,43,0.0,0.0
Paulo Gazzaniga,Southampton,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Florin Gardos,Southampton,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jack Butland,Stoke,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jakob Haugaard,Stoke,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Marc Wilson,West Brom,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Dionatan do Nascimento Teixeira,Stoke,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Stephen Ireland,Stoke,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jose Luis Mato Sanmartín,Stoke,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Adam Matthews,Sunderland,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kristoffer Nordfeldt,Swansea,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Franck Tabanou,Swansea,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bafétimbi Gomis,Swansea,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Marvin Emnes,Swansea,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DeAndre Yedlin,Spurs,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Nabil Bentaleb,Spurs,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joshua Onomah,Spurs,Midfielder,0,0,0,0,0,0,0,0,0,0,22,0.0,0.0
Alex Pritchard,Spurs,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Clinton N'Jie,Spurs,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Juan Carlos Paredes,Watford,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Almen Abdi,Watford,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ikechi Anya,Watford,Midfielder,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0
Steven Berghuis,Watford,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Mario Suárez,Watford,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Mamadou Obbi Oularé,Watford,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Boaz Myhill,West Brom,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Sébastien Pocognoli,West Brom,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Cristian Gamboa,West Brom,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
James Chester,West Brom,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Callum McManaman,West Brom,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Rickie Lambert,West Brom,Forward,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0
Reece Oxford,West Ham,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Josh Cullen,West Ham,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Nick Pope,Burnley,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Marko Grujic,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0
Tommie Hoban,Watford,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Brice Dja Djédjé,Watford,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Matej Vydra,Watford,Forward,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0
Ola Aina,Chelsea,Defender,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0
Jérémy Pied,Southampton,Defender,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0
Chuba Akpom,Arsenal,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Sullay Kaikai,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bartosz Kapustka,Leicester,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jose Angel Esmoris Tasende,Man City,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Cameron Carter-Vickers,Spurs,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Daniel Lafferty,Burnley,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Olayinka Fredrick Oladotun Ladapo,Crystal Palace,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Keshi Anderson,Crystal Palace,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kane Wilson,West Brom,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Greg Olley,Hull,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Josh Clackstone,Hull,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Dusan Kuciak,Hull,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Greg Luer,Hull,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joel Asoro,Sunderland,Midfielder,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0
Alex Baptiste,Middlesbrough,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alexander Manninger,Liverpool,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Pablo Maffeo,Man City,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Luke McGee,Spurs,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Josh Robson,Sunderland,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Reece Burke,West Ham,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Thomas Robson,Sunderland,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Hiram Boateng,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ben Hinchcliffe,Hull,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Maksymilian Stryjek,Sunderland,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jack Rose,West Brom,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Pau López Sabata,Spurs,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Georges-Kévin Nkoudou,Spurs,Midfielder,0,0,0,0,0,0,0,0,0,0,52,0.0,0.0
James Weir,Hull,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Simões Domingues,Sunderland,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jonathan Benteke,Crystal Palace,Forward,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0
Luke Dreher,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Oviemuno Ejaria,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0
Ben Hamer,Leicester,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Lloyd Isgrove,Southampton,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ben Wynter,Crystal Palace,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jake Hesketh,Southampton,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jeff Reine-Adelaide,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Olufela Olomola,Southampton,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Dominic Solanke,Chelsea,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Raphael Spiegel,West Ham,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ainsley Maitland-Niles,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0
Kevin Long,Burnley,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Mateusz Hewelt,Everton,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Stuart Taylor,Southampton,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Daniel James,Swansea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Thibaud Verlinden,Stoke,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ryan Allsop,Bournemouth,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alex Palmer,West Brom,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Matthew James,Leicester,Midfielder,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Andrew Eleftheriou,Watford,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Phillips,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Oluwatosin Adarabioyo,Man City,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alex Pike,West Ham,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Marcus Browne,West Ham,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Domingos Quina,West Ham,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Noor Husin,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Aaron Wan-Bissaka,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Josh Maja,Sunderland,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Rekeem Harper,West Brom,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ethan Robson,Sunderland,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jonjoe Kenny,Everton,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Elliot Embleton,Sunderland,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Declan Rice,West Ham,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Charlie Rowan,Watford,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Folivi,Watford,Forward,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0
Brandon Mason,Watford,Defender,0,0,0,0,0,0,0,0,0,0,23,0.0,0.0
Carl Stewart,Watford,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Harry Lewis,Southampton,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Ledger,Sunderland,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joel Taylor,Stoke,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joleon Lescott,Sunderland,Defender,0,0,0,0,0,0,0,0,0,0,34,0.0,0.0
Giedrius Arlauskis,Watford,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Molla Wagué,Leicester,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Thomas Edwards,Stoke,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Baily Cargill,Bournemouth,Defender,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0
Mouez Hassen,Southampton,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Daniel Agyei,Burnley,Forward,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0
Martín Cáceres,Southampton,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Harry Wilson,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Connor Roberts,Swansea,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Matthew Willock,Man Utd,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Axel Tuanzebe,Man Utd,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joe Williams,Everton,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Dion Pereira,Watford,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Matt Macey,Arsenal,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joel Dinis Castro Pereira,Man Utd,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Eduardo Dos Reis Carvalho,Chelsea,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Adrián San Miguel del Castillo,West Ham,Goalkeeper,0,0,0,37,3,1,0,0,0,20,990,-0.5,-0.05
Loris Karius,Liverpool,Goalkeeper,0,0,0,20,3,0,0,0,0,12,900,-0.5,-0.05
Adam Lallana,Liverpool,Midfielder,7,7,0,0,6,3,0,0,0,32,2064,-2.5,-0.11
Tom Davies,Everton,Midfielder,2,3,0,0,7,4,0,0,0,12,1204,-1.5,-0.11
Connor Wickham,Crystal Palace,Forward,2,0,0,0,0,1,0,0,0,6,412,-0.5,-0.11
Darren Randolph,West Ham,Goalkeeper,0,0,1,64,4,1,0,0,0,39,1980,-2.5,-0.11
Kevin De Bruyne,Man City,Midfielder,4,16,0,0,8,4,0,1,0,30,2346,-3.0,-0.12
Gnegneri Yaya Touré,Man City,Midfielder,4,0,0,0,8,4,0,0,0,16,1529,-2.0,-0.12
Danny Rose,Spurs,Defender,2,3,0,0,8,8,0,0,0,11,1530,-2.0,-0.12
Paul Pogba,Man Utd,Midfielder,4,3,0,0,12,7,0,0,0,21,2475,-3.5,-0.13
Alex Iwobi,Arsenal,Midfielder,3,5,0,0,9,1,0,0,0,20,1411,-2.0,-0.13
Wayne Rooney,Man Utd,Forward,2,5,0,0,3,6,0,0,0,11,1014,-1.5,-0.13
James Ward-Prowse,Southampton,Midfielder,4,4,0,0,7,2,0,0,0,21,1482,-2.5,-0.15
Cristhian Stuani,Middlesbrough,Forward,4,0,0,0,3,3,0,0,0,14,1193,-2.0,-0.15
Vincent Kompany,Man City,Defender,1,0,0,0,1,2,0,0,0,3,294,-0.5,-0.15
Kieran Gibbs,Arsenal,Defender,0,1,0,0,2,3,0,0,0,1,297,-0.5,-0.15
Nacer Chadli,West Brom,Midfielder,5,6,0,0,6,1,0,0,0,27,1923,-3.5,-0.16
Dusan Tadic,Southampton,Midfielder,3,7,0,0,10,3,0,0,0,23,1908,-3.5,-0.17
Jesse Lingard,Man Utd,Midfielder,1,2,0,0,6,2,0,0,0,9,1055,-2.0,-0.17
Álvaro Negredo,Middlesbrough,Forward,8,4,0,0,9,5,0,0,0,35,2447,-5.0,-0.18
Callum Wilson,Bournemouth,Forward,6,1,0,0,6,0,0,0,0,25,1361,-3.0,-0.2
Ross Barkley,Everton,Midfielder,4,11,0,0,10,5,0,0,0,31,2531,-5.5,-0.2
Luke Shaw,Man Utd,Defender,0,3,0,0,4,1,0,0,0,6,680,-1.5,-0.2
Sam Vokes,Burnley,Forward,6,4,0,0,4,0,0,0,0,28,1704,-4.0,-0.21
Matt Phillips,West Brom,Midfielder,4,9,0,0,6,2,0,0,0,28,2181,-5.0,-0.21
Abel Hernández,Hull,Forward,4,4,0,0,4,0,0,0,0,21,1290,-3.0,-0.21
Claudio Bravo,Man City,Goalkeeper,0,0,1,32,5,0,0,0,0,26,1890,-4.5,-0.21
James Milner,Liverpool,Midfielder,7,4,0,0,8,5,0,0,0,33,2718,-6.5,-0.22
Ander Herrera,Man Utd,Midfielder,1,5,0,0,11,5,1,0,0,15,2087,-5.0,-0.22
Fraser Forster,Southampton,Goalkeeper,0,0,0,58,11,3,0,0,0,40,2790,-7.0,-0.23
Jonathan Walters,Stoke,Midfielder,4,3,0,0,6,1,0,0,0,21,1269,-3.5,-0.25
Adam Federici,Bournemouth,Goalkeeper,0,0,0,5,1,1,0,0,0,3,180,-0.5,-0.25
André Ayew,West Ham,Midfielder,5,1,0,0,3,1,0,0,0,20,1032,-3.0,-0.26
Robbie Brady,Burnley,Midfielder,1,2,0,0,1,0,0,0,0,7,519,-1.5,-0.26
Andy Carroll,West Ham,Forward,7,2,0,0,3,3,0,0,0,27,1312,-4.0,-0.27
Michail Antonio,West Ham,Midfielder,9,8,0,0,7,4,1,0,0,43,2433,-7.5,-0.28
Marc Muniesa,Stoke,Defender,1,0,0,0,2,1,0,0,0,5,469,-1.5,-0.29
Jermain Defoe,Sunderland,Forward,14,3,0,0,5,1,0,0,0,57,2872,-10.0,-0.31
