player,team,role,goals,assists,penalties saved,saves,clean sheets,yellow cards,red cards,penalties missed,own goals,goals conceded,minutes,score,rating
Stephen Ward,Burnley,Defender,1,0,0,0,8,5,0,0,0,45,2825,-40.5,-1.29
Jon Flanagan,Burnley,Defender,0,0,0,0,1,2,0,0,0,4,315,-4.5,-1.29
Marc Albrighton,Leicester,Midfielder,1,5,0,0,6,3,0,0,0,37,1901,-27.5,-1.3
Branislav Ivanovic,Chelsea,Defender,0,1,0,0,1,2,0,0,0,9,589,-8.5,-1.3
Jeremain Lens,Sunderland,Midfielder,0,0,0,0,0,0,0,0,0,1,69,-1.0,-1.3
Claudio Yacob,West Brom,Midfielder,0,0,0,0,4,8,0,0,0,29,2127,-31.0,-1.31
Christian Fuchs,Leicester,Defender,2,4,0,0,6,8,0,0,0,47,2563,-38.0,-1.33
Scott Dann,Crystal Palace,Defender,3,1,0,0,2,2,0,0,0,36,1752,-26.0,-1.34
Sebastian Prödl,Watford,Defender,1,2,0,0,5,8,0,0,0,38,2320,-34.5,-1.34
Glen Johnson,Stoke,Defender,0,0,0,0,5,1,0,0,0,26,1597,-24.0,-1.35
Wayne Routledge,Swansea,Midfielder,3,2,0,0,5,1,0,0,0,42,1917,-29.0,-1.36
Marc Pugh,Bournemouth,Midfielder,1,2,0,0,3,1,0,0,0,20,928,-14.0,-1.36
Abdoulaye Doucouré,Watford,Midfielder,1,0,0,0,4,3,0,0,0,16,830,-12.5,-1.36
Younes Kaboul,Watford,Defender,2,0,0,0,4,2,0,0,0,36,1910,-29.0,-1.37
Jason Puncheon,Crystal Palace,Midfielder,0,4,0,0,6,8,0,0,0,42,2553,-39.0,-1.37
Mark Noble,West Ham,Midfielder,3,0,0,0,7,9,0,1,0,40,2277,-35.0,-1.38
Dieumerci Mbokani,Hull,Forward,0,2,0,0,3,0,0,0,0,15,750,-11.5,-1.38
Jarrod Bowen,Hull,Forward,0,0,0,0,0,0,0,0,0,1,65,-1.0,-1.38
Ben Mee,Burnley,Defender,1,2,0,0,9,5,0,0,2,47,2970,-46.0,-1.39
