MONTH,MANHATTAN,NYC,PERCENTAGE
April,3540,18331,19.311548742567236
August,2844,19678,14.452688281329404
December,2634,19214,13.708754033517225
February,3195,15985,19.987488270253362
January,3178,18101,17.557041047455943
July,3055,19867,15.377258770825994
June,2956,19433,15.211238614727526
March,3479,18471,18.834930431487194
May,3432,20052,17.115499700777978
November,2838,19315,14.693243593062386
October,2831,19666,14.395403234007933
September,2744,19492,14.077570285245228
